title	URL	item_id	seller	seller_id	销量
佳能700D 小套 佳能EOS 700D/18-55 STM套机 入门单反	http://world.tmall.com/item/37745552927.htm#detail	37745552927	canon好当买专卖店	1993268180	12
全国联保 正品行货 Canon佳能700D单反相机 700D套机媲1200D套机	http://world.taobao.com/item/521685547681.htm#detail	521685547681	数码名仕	1052463725	12
正品行货 全国联保 佳能700D套机(18-135mm)媲70D专业单反胜1200D	http://world.taobao.com/item/44011835359.htm#detail	44011835359	诚心诚意堂	1043881530	12
canon/佳能700D入门单反相机 EOS 700D 单机身 正品行货 包邮顺丰	http://world.tmall.com/item/18151038008.htm#detail	18151038008	焕玲数码专营店	1645280782	11
全新正品佳能EOS 700D单反数码相机650D入门单反相机超750D可分期	http://world.taobao.com/item/520177968657.htm#detail	520177968657	yehengchang	245186629	11
【彩虹摄影 冲冠促销】Canon/佳能700d 18-55套机 700D小套 行货	http://world.taobao.com/item/17898022997.htm#detail	17898022997	彩虹创造数码	608289	11
6期免息【送16G卡】Canon/佳能 EOS 700D套机(18-135mm)单反相机	http://world.tmall.com/item/18032630127.htm#detail	18032630127	绿森数码官方旗舰店	197232874	10
Canon/佳能EOS 700D（18-135STM）套机 单反相机	http://world.taobao.com/item/44087725946.htm#detail	44087725946	数码大拼盘	107208495	10
Canon佳能700D单反相机700D/18-55 STM套机 入门单反相机	http://world.taobao.com/item/42468840454.htm#detail	42468840454	sanhe数码	837348480	9
[促销] Canon/佳能 入门单反数码相机 EOS 700D 机身	http://world.tmall.com/item/41018445749.htm#detail	41018445749	佳能官方旗舰店	2134802284	9
Canon/佳能 EOS 750D套机18-55 STM 入门级单反数码相机 胜700D	http://world.taobao.com/item/522606643900.htm#detail	522606643900	凌逸	20862305	8
佳能700D套机 入门单反相机 700D 18-135 STM 套机 正品 包邮顺丰	http://world.tmall.com/item/24284180931.htm#detail	24284180931	焕玲数码专营店	1645280782	4
Canon/佳能 70D 18-135STM/18-200套机 单机身 胜60D 700D D7100	http://world.taobao.com/item/36779391353.htm#detail	36779391353	zm831109	61605074	4
特价包邮Canon/佳能700D 18-135STM 佳能单反套机	http://world.taobao.com/item/37055186363.htm#detail	37055186363	向前看521888	809991233	4
佳能EOS 700D套机18-55 STM 单反相机 700D 18-55	http://world.taobao.com/item/18999829018.htm#detail	18999829018	倚诺千斤	276347452	4
正品国行【返现30元】Canon/佳能 60D 套机18-135STM 媲700D单反	http://world.taobao.com/item/45762700661.htm#detail	45762700661	深港数码333	810252403	4
全新佳能EOS 500D单反相机 套机 佳能550D/600D/700D入门单反相机	http://world.taobao.com/item/40393998476.htm#detail	40393998476	华艺正品数码店	2158678590	4
Canon/佳能700d单反相机 套机超越600d媲70d 专业单反港版/日版	http://world.taobao.com/item/520158557784.htm#detail	520158557784	002小若	341723494	4
国行 Canon/佳能 700D 18-55 STM套机 入门单反相机 EOS 700D套机	http://world.taobao.com/item/17728862670.htm#detail	17728862670	小李84	28203191	3
全国联保Canon佳能 EOS 1200D套机(18-55mm)  数码单反相机媲700D	http://world.taobao.com/item/42164704934.htm#detail	42164704934	亲亲_瑞雪儿	168079976	3
Canon/佳能 EOS 700D 18 135mm单反相机 700D 18-135STM单反套机	http://world.tmall.com/item/24316096209.htm#detail	24316096209	康维联特数码专营店	325807393	3
佳能700D套机入门单反相机 700D 18-55 IS STM套机 正品 包邮顺丰	http://world.tmall.com/item/18053093587.htm#detail	18053093587	焕玲数码专营店	1645280782	3
佳能650D入门单反数码相机  翻转触摸屏  超600D 550D媲美700D	http://world.taobao.com/item/45311704883.htm#detail	45311704883	广海世纪	826599287	3
Canon/佳能 EOS 1200D套机18-55mm 佳能单反相机 入门单反媲 700D	http://world.taobao.com/item/43418566157.htm#detail	43418566157	10数码男生	712156420	3
全新Canon/佳能EOS 700D套机(18-55mm)单反相机 650D 600D 正品	http://world.taobao.com/item/45826894669.htm#detail	45826894669	江南奶茶	436407538	3
佳能60D 单反数码相机 原装正品特价中端单反套机超700D 600D特价	http://world.taobao.com/item/40229848302.htm#detail	40229848302	采芝小妹	914289634	3
佳能单反700D（EF-S 18-55MM F/3.5-5.6 IS STM）	http://world.tmall.com/item/521247701927.htm#detail	521247701927	苏宁易购官方旗舰店	2616970884	3
Canon/佳能700d 18-55 stm套机700D小套 佳能入门单反相机	http://world.tmall.com/item/26519380192.htm#detail	26519380192	佳能佳侬专卖店	821711942	3
佳能（canon）EOS 700D(EF-S 18-55mm STM)	http://world.taobao.com/item/18330354703.htm#detail	18330354703	好好拍拍	47563506	3
Canon/佳能700d套机 700D单机身18-55 stm镜头套机18-135镜头套机	http://world.taobao.com/item/523220144369.htm#detail	523220144369	尼康佳能数码相机旗航商城	2194581407	3
Canon/佳能专业数码单反 EOS 700D(18-135STM镜头)套机 现货促销	http://world.taobao.com/item/20129813477.htm#detail	20129813477	dengqy7984	13916408	2
Canon/佳能 EOS 700D套机 (18-55mm) 全国联保 顺丰包邮	http://world.tmall.com/item/18047746642.htm#detail	18047746642	中恒驿站数码专营店	428712407	2
冲四皇冠 Canon/佳能 EOS 700D套机(18-200mm)数码单反相机正品	http://world.taobao.com/item/17888234698.htm#detail	17888234698	jatmpf	12718779	2
Canon/佳能700D单反相机 EOS 700D 单机 全国联保 天猫分期购	http://world.tmall.com/item/37589154490.htm#detail	37589154490	逸明恒业数码专营店	702410433	2
Canon/佳能700d 18-55 佳能镜头700D单反套机 700D单反相机 700D	http://world.tmall.com/item/18053054206.htm#detail	18053054206	康维联特数码专营店	325807393	2
全新原装未开封 Canon/佳能 700D套机(18-135 mm)STM单反相机	http://world.taobao.com/item/36564498121.htm#detail	36564498121	wangwei447219658	62880033	2
大陆行货 佳能700d 套机18-55mm 18-200 18-135STM 单反相机 单机	http://world.taobao.com/item/523776961013.htm#detail	523776961013	sheaere	20807624	2
Canon/佳能 EOS 700D 单反套机 EF-S 18-55mm	http://world.taobao.com/item/521142166658.htm#detail	521142166658	maxpowermzq	51166087	2
★申冠 佳能 EOS 700D 18-55 STM套机单反相机佳能700D 18 55套机	http://world.taobao.com/item/18878973599.htm#detail	18878973599	申冠国际特价	279547431	2
canon/佳能EOS 700D套机18-55 STM 18-135 STM 700D单机-可自提	http://world.taobao.com/item/39079359358.htm#detail	39079359358	苏州天天数码	2014351609	2
Canon/佳能 700D套机(18-135 mm)STM单反相机 700D 全国包邮	http://world.taobao.com/item/21270531816.htm#detail	21270531816	倚诺千斤	276347452	2
特价佳能EOS 600D/18-55mm IS II 600D套机性比超700D 650D	http://world.taobao.com/item/521514837929.htm#detail	521514837929	guangzhou4seaforcy	50694639	2
【Magic风欣】Canon/佳能700D(18-55mmSTM.18-135mmSTM.)入门单反	http://world.taobao.com/item/37443266749.htm#detail	37443266749	tb618232_00	875692349	2
【蚂蚁摄影】单反数码相机Canon/佳能 700D套机 胜600D 650D媲60D	http://world.taobao.com/item/39506655577.htm#detail	39506655577	一心忠于党	272262947	2
全新Canon/佳能EOS 700D套机(18-55mm)单反相机 650D 600D 正品	http://world.taobao.com/item/43356001499.htm#detail	43356001499	采芝小妹	914289634	2
【直营店】佳能相机EOS 700D 18-135 STM套机 700D18-135单反相机	http://world.tmall.com/item/20728531850.htm#detail	20728531850	霞光盛景数码专营店	1089421267	2
佳能700D 18-135 STM套机 数码相机 佳能700D 18-135 店铺三包	http://world.taobao.com/item/37449513536.htm#detail	37449513536	彩虹创造数码	608289	2
Canon/佳能700d 套机18-55 18-135 STM单反相机原装正品单机身EOS	http://world.taobao.com/item/44069100271.htm#detail	44069100271	fzgc168	23172543	2
正品国行 全国联保 佳能EOS 700D套机（18-55 STM）18-135 STM	http://world.taobao.com/item/38708270318.htm#detail	38708270318	潮流_数码宝贝	711611734	2
实体店 Canon/佳能EOS 700D/18-55 STM  套机 正品港货 700D 单机	http://world.taobao.com/item/38871554135.htm#detail	38871554135	格达相机行	797271288	2
数码单反 佳能入门级EOS700D 相机出租 广州实体店交易	http://world.taobao.com/item/45805808764.htm#detail	45805808764	benbenyuan197823	52847155	2
佳能单反700D套机（EF-S 18-135mm） 苏宁易购正品行货	http://world.tmall.com/item/521254506467.htm#detail	521254506467	苏宁易购官方旗舰店	2616970884	2
【分期0首付】佳能 数码单反相机 700D/18-135 STM 套机 佳能700D	http://world.tmall.com/item/18035746287.htm#detail	18035746287	佳能弗尔兹专卖店	731577459	2
Canon/佳能700d 套机18-55 18-135 STM单反相机原装正品单机身EOS	http://world.taobao.com/item/43853759026.htm#detail	43853759026	fzgc168	23172543	2
Canon/佳能 EOS 700D单机 单反数码相机 700D机身 店铺三包	http://world.taobao.com/item/40153645831.htm#detail	40153645831	彩虹创造数码	608289	2
Canon/佳能入门级单反700D性价比高的单反	http://world.taobao.com/item/521711671370.htm#detail	521711671370	朱思财710	2073747125	1
天祈数码解放碑店 佳能单反 700D 18-135 IS STM镜头 现货	http://world.taobao.com/item/36589762187.htm#detail	36589762187	timji_2009	240728101	1
Canon/佳能 700D套机(18-55mm) 佳能700D 18-55相机 昆明实体店	http://world.taobao.com/item/44881048637.htm#detail	44881048637	镜物语数码摄影	821876034	1
国行联保 Canon/佳能700D 18-135 STM套机 单反相机 EOS 700D套机	http://world.taobao.com/item/17742069685.htm#detail	17742069685	小李84	28203191	1
Canon 佳能 700D 18-135 STM 套机 正品行货全国联保 只做行货	http://world.taobao.com/item/44082088477.htm#detail	44082088477	qq5911345	107847828	1
双十二年终盛典 正品行货佳能EOS 700D单机身单反相机 全国联保	http://world.taobao.com/item/20453095037.htm#detail	20453095037	raise之家	150535111	1
特价佳能700D单机700D单机身可配18-55 18-135STM18-200镜头包邮	http://world.taobao.com/item/17947393394.htm#detail	17947393394	中关村数码大掌柜	196923597	1
佳能70D Canon/佳能EOS 70D 18-135 ISTM单反相机超越700D7100	http://world.taobao.com/item/19540990098.htm#detail	19540990098	jatmpf	12718779	1
Canon/佳能  kiss x7i 单/套机  型号EOS 700d  国内现货直邮	http://world.taobao.com/item/40647148611.htm#detail	40647148611	思思斯斯	614192449	1
佳能/Canon EOS 700D 18-55mm 套机 18-55 STM 大陆行货 全国联保	http://world.taobao.com/item/24291960195.htm#detail	24291960195	草莓柠檬味	260225611	1
佳能全新700D18-55STM/55-250S  成都有实体店	http://world.taobao.com/item/43145287716.htm#detail	43145287716	fuxiuheshenqi	620239255	1
【电器城】佳能700D单反相机 EOS700D 单机身 数码相机可配18-135	http://world.tmall.com/item/20166147027.htm#detail	20166147027	宽方数码专营	748175438	1
单反相机出租--佳能 700D(18-55mm) 套机出租 一拍机合器材租赁	http://world.taobao.com/item/36258559854.htm#detail	36258559854	一拍机合	1837256115	1
佳能正品 100%全新原装 佳能EOS 700D套机(18-55mm)STM 单反相机	http://world.taobao.com/item/35517479906.htm#detail	35517479906	裕腾摄影器材	390556657	1
Canon/佳能 EOS 700D套机(18-135mm STM) 单反相机 行货 包邮	http://world.tmall.com/item/18061081809.htm#detail	18061081809	中恒驿站数码专营店	428712407	1
全新原装未开封 佳能 700D套机(18-55 mm)STM单反相机 实体5年保	http://world.taobao.com/item/36574928690.htm#detail	36574928690	wangwei447219658	62880033	1
【HX换新网】以旧换新Canon/佳能EOS700D 18135 1855单反相机700D	http://world.taobao.com/item/42529806094.htm#detail	42529806094	傻小妹123	233412692	1
Canon/佳能700D套机(18-135mm)DSLR中端单反相机100%原电原充	http://world.taobao.com/item/27513616988.htm#detail	27513616988	tb6440456_99	883457002	1
佳能700D(18-135mm)佳能单反相机  700D大套	http://world.taobao.com/item/20174687748.htm#detail	20174687748	燕子0728_2008	66237520	1
Canon佳能单反相机EOS700D/18-135 STM 单反大套机正品行货发顺丰	http://world.tmall.com/item/27317696918.htm#detail	27317696918	八方视听数码专营店	1737760730	1
EOS佳能550D/含18-55镜头全新入门单反数码相机 650D 700D 600D	http://world.taobao.com/item/40233048391.htm#detail	40233048391	采芝小妹	914289634	1
新品 Canon佳能 EOS 700D单机 专业数码单反相机 700d	http://world.taobao.com/item/36480108859.htm#detail	36480108859	创易数码摄影器材商行	15203127	1
新品 Canon/佳能单反 700D/18-55 STM套机 700D 18-55	http://world.taobao.com/item/19734819571.htm#detail	19734819571	创易数码摄影器材商行	15203127	1
Canon/佳能EOS 700D (18-55mm)/18-135STM 单反相机 媲70D	http://world.taobao.com/item/43859660891.htm#detail	43859660891	华南陈记数码城	1800419586	1
【0首付 分期】佳能700D单机身 EOS 700D 单机身 正品 包邮	http://world.tmall.com/item/36985471986.htm#detail	36985471986	棱镜数码专营店	1809004314	1
Canon/佳能 EOS 700D单机 单反数码相机 700D机身 正品行货	http://world.taobao.com/item/17910305296.htm#detail	17910305296	彩虹创造数码	608289	1
佳能专卖 Canon/佳能单反 700D/18-55 STM套机 正品大陆行货	http://world.taobao.com/item/23955844293.htm#detail	23955844293	xuefeicai	59948746	1
Canon/佳能 EOS 100D 套机1855mm STM专业单反数码相机媲700D70D	http://world.taobao.com/item/522964951278.htm#detail	522964951278	时尚52shou	724459891	1
Canon/佳能单反相机 700D 18-55 18-135STM  媲600D1200D全国联保	http://world.taobao.com/item/522965179167.htm#detail	522965179167	时尚52shou	724459891	1
【直营店】 单反数码照相机Canon/佳能 700D 18-55套机 联保行货	http://world.tmall.com/item/20728727154.htm#detail	20728727154	霞光盛景数码专营店	1089421267	1
双11 Canon/佳能 EOS 700D 18-135 STM 单反套机 700D套机 100%原	http://world.taobao.com/item/20129857626.htm#detail	20129857626	小猫飘飘	11441290	1
佳能700D单反相机，家用好伴侣！	http://world.taobao.com/item/524330491897.htm#detail	524330491897	张太宇	35604396	1
Canon/佳能单反相机700D/18-135 STM套机 700D大套 正品	http://world.taobao.com/item/43971285794.htm#detail	43971285794	zzpzhang88	1667445130	1
Canon/佳能 EOS 70D/700D/750D/760D/6D套机(18-135mm) 单反相机	http://world.taobao.com/item/45075322219.htm#detail	45075322219	欧莱曼潮品店	1899103657	1
国行顺丰包邮佳能700d套机佳能18-55STM单反镜头佳能700d数码相机	http://world.taobao.com/item/522194585318.htm#detail	522194585318	nancy小七	24250482	1
佳能700D全新原装正品佳能EOS 700D/18-55 STM套机 单反数码相机	http://world.taobao.com/item/40148868087.htm#detail	40148868087	zzjq63623	1070261190	1
Canon/佳能 EOS 700D套机(18-135mm) STM套机 佳能单反数码相机	http://world.taobao.com/item/35544800470.htm#detail	35544800470	迷失的孩子想家了	731536109	1
当天发货Canon/佳能 EOS 700D套机(18-135mm)STM 佳能700D 正品	http://world.tmall.com/item/20087827464.htm#detail	20087827464	景泰卓越数码专营店	1584676457	1
佳能 700D 18-135 套机 700D 18-135 店铺三包	http://world.taobao.com/item/37023397562.htm#detail	37023397562	特昌电子技术有限公司	737905699	1
[促销] Canon/佳能 EOS 700D 双镜头单反套机	http://world.tmall.com/item/44976761248.htm#detail	44976761248	佳能官方旗舰店	2134802284	1
Canon 佳能 700D 18-55 套机 正品行货全国联保 只做行货	http://world.taobao.com/item/43996148361.htm#detail	43996148361	qq5911345	107847828	1
名称：Canon/佳能 EOS 700D（18/135mm）套机单机官方标配 未拆封	http://world.taobao.com/item/43223575354.htm#detail	43223575354	rz舞神	1021491099	1
Canon/佳能70D套机18-135 IS STM镜头单反相机18-200媲700D	http://world.taobao.com/item/521275426487.htm#detail	521275426487	茗茗bbg	2613772248	1
佳能700D 18-55 II	http://world.taobao.com/item/524753813546.htm#detail	524753813546	厉玮政	822758933	1
【电器城】Canon/佳能 700D 18-55单反相机 入门单反套机	http://world.tmall.com/item/24303556699.htm#detail	24303556699	佳能富诚佳信专卖店	664692165	1
全新正品 Canon/佳能 700D套机(18-135STM镜头) 单反相机 特价	http://world.taobao.com/item/37359755477.htm#detail	37359755477	威凡数码	686674311	1
佳能EOS 600D套机 含18-55II镜头 入门单反数码相机媲美700D 550D	http://world.taobao.com/item/522653511047.htm#detail	522653511047	鹏程数码大卖场	728936567	1
Canon/佳能EOS700D套机(18-135mm)入门级单反相机全新正品包邮	http://world.tmall.com/item/43513476767.htm#detail	43513476767	新视窗数码专营店	2336211285	1
正品佳能700D套机18-135IS STM镜头双12送包送卡送彩票	http://world.taobao.com/item/36509870211.htm#detail	36509870211	恒锋数码批发	832110325	1
佳能 700D 单机 套机 18-55 18-135STM 正品国行单反相机	http://world.taobao.com/item/40971691183.htm#detail	40971691183	langren7421	16203451	0
套餐包邮Canon/佳能单反相机700d 18-55STM套机EOS700d套机国行	http://world.taobao.com/item/38979032544.htm#detail	38979032544	睿诚瑞诚	1640516011	0
套餐包邮Canon/佳能单反700d 18-135mmSTM套机EOS700d单机身国行	http://world.taobao.com/item/38949322979.htm#detail	38949322979	睿诚瑞诚	1640516011	0
Canon/佳能单反相机700D/18-135 STM套机 700D大套 正品	http://world.taobao.com/item/36428780524.htm#detail	36428780524	西光摄影摄像器材商行	1832199452	0
Canon/佳能EOS 700D（18-135STM）套机 单反相机	http://world.taobao.com/item/524864496736.htm#detail	524864496736	江伟金店	57944630	0
国行联保 Canon/佳能 700D 机身/单机 入门单反相机 EOS 700D单机	http://world.taobao.com/item/23842320512.htm#detail	23842320512	小李84	28203191	0
南通实体店  新品佳能EOS700D 18-135STM套机 正品热卖	http://world.taobao.com/item/19854695938.htm#detail	19854695938	gujinlin007	13348683	0
佳能700D 18-135 STM套机 数码相机 佳能单反相机	http://world.taobao.com/item/36183877273.htm#detail	36183877273	晨之曦数码	696682513	0
Canon/佳能EOS 700D（18-55/18-135STM）套机 单反相机	http://world.taobao.com/item/44633681064.htm#detail	44633681064	主流数码168	2013065014	0
Canon/佳能专业数码单反 EOS 700D 单机身 全新原装正品现货	http://world.taobao.com/item/22295011008.htm#detail	22295011008	dengqy7984	13916408	0
Canon/佳能专业数码单反 EOS 700D(18-55mm STM变焦镜头)套机现货	http://world.taobao.com/item/19993722804.htm#detail	19993722804	dengqy7984	13916408	0
正品佳能EOS 700D 单反套机 18-55mm f/3.5-5.6 IS STM 佳能镜头	http://world.taobao.com/item/524416877169.htm#detail	524416877169	psanne85	297669330	0
佳能700D套机(18-55 STM镜头)联保行货 EOS 700D/18-55 单反	http://world.taobao.com/item/18439413064.htm#detail	18439413064	启诚照相器材	15861732	0
【含含】Canon/佳能 700D单机 18-55mm小套 18-135mm大套	http://world.taobao.com/item/520957804478.htm#detail	520957804478	北京中关村it数码	134859364	0
佳能EOS 700D KIT/EFS 18-135IS STM	http://world.taobao.com/item/26725428702.htm#detail	26725428702	兴昶数码	598453355	0
Canon/佳能 EOS 700D单机 单反数码相机 700D机身 店铺三包	http://world.taobao.com/item/523050108960.htm#detail	523050108960	彩虹华强店	789220629	0
天祈数码解放碑店 佳能单反  EOS 700D单机 专业数码单反相机	http://world.taobao.com/item/35205779151.htm#detail	35205779151	天祈数码江北店	391256608	0
Canon/佳能 EOS 1200D套机18-55mm 佳能单反相机 入门单反媲 700D	http://world.taobao.com/item/520283855932.htm#detail	520283855932	世博数码直销店	1840217173	0
新品CANON/佳能EOS700D 18-135STM套机 正品热卖	http://world.taobao.com/item/24689552187.htm#detail	24689552187	奇特影像科技	590200755	0
新品CANON/佳能EOS700D 18-135STM套机大陆行货全国联保	http://world.taobao.com/item/24689288785.htm#detail	24689288785	奇特影像科技	590200755	0
长沙爱好者 佳能 EOS 700D 18-55STM 套机 大陆行货 实体店铺	http://world.taobao.com/item/35855112411.htm#detail	35855112411	mese123	110713331	0
Canon/佳能单反EOS 700D单机 全新港货 原电原充【实体店经营】	http://world.taobao.com/item/40155081240.htm#detail	40155081240	友诚电器贸易有限公司	735469082	0
Canon 佳能 700D 单反套机 EF-S 18-55mm 顺丰包邮	http://world.taobao.com/item/524821095089.htm#detail	524821095089	猫在天上飞1137582	2713020552	0
Canon 佳能 入门单反数码相机 EOS 700D 机身	http://world.taobao.com/item/524820719947.htm#detail	524820719947	猫在天上飞1137582	2713020552	0
