title                                            	seller     	itemid      	买家  	买家等级                                      	价格	数量	时间                 	套餐            	买家vip                                                                      
[旗舰店] Canon/佳能 EOS 700D 单反套机 EF-S 18-55mm 送摄影包   	佳能官方旗舰店    	42070892819 	s**授	http://img.alicdn.com/newrank/b_red_2.gif 	  	1 	2016-01-23 12:45:37	颜色分类:黑色套餐:官方标配	<img src="//img.alicdn.com/tps/i3/T1PbuIXclkXXXXXXXX-16-16.png" alt="V1会员">
[旗舰店] Canon/佳能 EOS 700D 单反套机 EF-S 18-55mm 送摄影包   	佳能官方旗舰店    	42070892819 	a**苏	http://img.alicdn.com/newrank/b_red_3.gif 	  	1 	2016-01-23 12:32:27	颜色分类:黑色套餐:官方标配	                                                                           
[旗舰店] Canon/佳能 EOS 700D 单反套机 EF-S 18-55mm 送摄影包   	佳能官方旗舰店    	42070892819 	无**4	http://img.alicdn.com/newrank/b_red_3.gif 	  	1 	2016-01-23 11:37:33	颜色分类:黑色套餐:官方标配	<img src="//img.alicdn.com/tps/i3/T1PbuIXclkXXXXXXXX-16-16.png" alt="V1会员">
[旗舰店] Canon/佳能 EOS 700D 单反套机 EF-S 18-55mm 送摄影包   	佳能官方旗舰店    	42070892819 	心**2	http://img.alicdn.com/newrank/b_red_3.gif 	  	1 	2016-01-23 10:51:44	颜色分类:黑色套餐:官方标配	<img src="//img.alicdn.com/tps/i4/T1FHuIXcNkXXXXXXXX-16-16.png" alt="V2会员">
【蚂蚁摄影】单反数码照相机Canon/佳能 700D 18-55套机联保行货           	搜酷数码专营店    	44231886556 	谢**1	http://img.alicdn.com/newrank/b_blue_2.gif	  	1 	2016-01-26 11:49:30	颜色分类:黑色套餐:套餐五 	                                                                           
【蚂蚁摄影】单反数码照相机Canon/佳能 700D 18-55套机联保行货           	搜酷数码专营店    	44231886556 	小**1	http://img.alicdn.com/newrank/b_red_4.gif 	  	2 	2016-01-26 10:21:25	颜色分类:黑色套餐:官方标配	                                                                           
【蚂蚁摄影】单反数码照相机Canon/佳能 700D 18-55套机联保行货           	搜酷数码专营店    	44231886556 	君**8	http://img.alicdn.com/newrank/b_blue_2.gif	  	1 	2016-01-26 09:48:31	颜色分类:黑色套餐:官方标配	<img src="//img.alicdn.com/tps/i4/T1FHuIXcNkXXXXXXXX-16-16.png" alt="V2会员">
【蚂蚁摄影】单反数码照相机Canon/佳能 700D 18-55套机联保行货           	搜酷数码专营店    	44231886556 	x**7	http://img.alicdn.com/newrank/b_red_4.gif 	  	1 	2016-01-26 00:15:20	颜色分类:黑色套餐:套餐一 	<img src="//img.alicdn.com/tps/i4/T1FHuIXcNkXXXXXXXX-16-16.png" alt="V2会员">
【蚂蚁摄影】单反数码照相机Canon/佳能 700D 18-55套机联保行货           	搜酷数码专营店    	44231886556 	q**2	http://img.alicdn.com/newrank/b_red_3.gif 	  	1 	2016-01-25 22:27:27	颜色分类:黑色套餐:套餐五 	<img src="//img.alicdn.com/tps/i3/T1PbuIXclkXXXXXXXX-16-16.png" alt="V1会员">
【蚂蚁摄影】单反数码照相机Canon/佳能 700D 18-55套机联保行货           	搜酷数码专营店    	44231886556 	九**0	http://img.alicdn.com/newrank/b_red_5.gif 	  	1 	2016-01-25 17:33:41	颜色分类:黑色套餐:套餐二 	<img src="//img.alicdn.com/tps/i2/T1HbuIXcNkXXXXXXXX-16-16.png" alt="V4会员">
